date,address,postal_code,county,price,not_full_market_price,vat_exclusive,description_of_property,property_size_description
"04/03/2010","59 O'Dwyer Villas, Thomondgate, Limerick","","Limerick","€100,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/03/2010","62 Brocan Wood, Monasterevan","","Kildare","€230,000.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"04/03/2010","73 stannaway avenue, crumlin","Dublin 12","Dublin","€230,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/03/2010","9, Dunsoghly Close, Finglas","Dublin 11","Dublin","€225,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/03/2010","Apartment 302, Windmill House, Dock Road","","Limerick","€95,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/03/2010","Apt. No. 46, The Waterways, Sallins","","Kildare","€330,000.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"04/03/2010","Aughadruminshin, Carrigallen, Co. Leitrim","","Leitrim","€158,591.00","No","Yes","New Dwelling house /Apartment","greater than 125 sq metres"
"04/03/2010","Brestagh, Carrowmore Lacken, Ballina","","Mayo","€60,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/03/2010","BUNCLOADY LODGE, RHEBOGUE, LIMERICK","","Limerick","€310,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/03/2010","Chapel Road, Clogherhead","","Louth","€240,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/03/2010","Derry, Listowel","","Kerry","€115,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/03/2010","Dobbins, Main Street, Stradbally","","Laois","€253,333.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/03/2010","Farragher, Four Mile House, Roscommon","","Roscommon","€80,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/03/2010","Fintavan, Ballyjamesduff","","Cavan","€145,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/03/2010","Hill View Cottage, Barrinagh, Granlahan","","Roscommon","€300,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/03/2010","Killylastin, Letterkenny","","Donegal","€255,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/03/2010","Kinlough, Sneem","","Kerry","€170,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/03/2010","Milltown, Castleplunkett, Castlerea","","Roscommon","€76,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/03/2010","No 40 Dun Lia, Loughtagalla, Thurles","","Tipperary","€133,921.00","No","Yes","New Dwelling house /Apartment","greater than 125 sq metres"
"04/03/2010","No. 20 Forest Park Manor, Carrick Road, Boyle","","Roscommon","€182,697.15","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"04/03/2010","No. 9 Windtown Park, Rathowen","","Westmeath","€79,295.15","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"04/03/2010","Number 7, Crecora Avenue, Ballinacurra Weston","","Limerick","€20,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/03/2010","Site 1 Waterpark Avenue, Waterpark, Carrigaline","","Cork","€176,211.45","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"04/03/2010","Site 41, The Village, Cloughjordan","","Tipperary","€392,596.00","No","Yes","New Dwelling house /Apartment","greater than 125 sq metres"
"04/03/2010","The Ridge, Old Leighlin","","Carlow","€270,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"16/04/2010","AVALTYGORT, KILLYGORDON","","Donegal","€91,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"16/04/2010","Ballygaddy Road, Tuam, Co. Galway","","Galway","€100,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"16/04/2010","Conoboro Road, Rathdowney","","Laois","€85,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"16/04/2010","Cornagill, Letterkenny","","Donegal","€355,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"16/04/2010","Crane, Monageer, Enniscorthy","","Wexford","€245,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"16/04/2010","Dartfield, Loughrea","","Galway","€150,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"16/04/2010","Drumbrastle West, Newport","","Mayo","€320,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"16/04/2010","Eviston, Windsor Hill, Glounthaune","","Cork","€570,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"16/04/2010","FETHERNEEN, BALLINACARROW","","Sligo","€140,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"16/04/2010","Glenrose, Fiddown, Piltown","","Waterford","€250,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"16/04/2010","Gowla, Cashel","","Galway","€70,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"16/04/2010","Gurtcreen, Listowel","","Kerry","€60,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"16/04/2010","Knockmullen, Gorey, Gorey","","Wexford","€250,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"16/04/2010","Lisnacrilla, Kinsale","","Cork","€313,529.41","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"16/04/2010","No 56  Townparks Manor, Rockfield Road, Kells","","Meath","€199,100.00","No","Yes","New Dwelling house /Apartment","greater than 125 sq metres"
"16/04/2010","No. 3 The Woods, Turlough, Castlebar","","Mayo","€190,000.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"16/04/2010","No. 85 Beechlawns, Johns Well Road","","Kilkenny","€160,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"16/04/2010","SOUTH PARK, 197A LIBRARY ROAD, SHANKILL","","Dublin","€550,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"16/04/2010","The Long Point Bar, Whitegate, Midleton","","Cork","€27,692.00","No","No","Second-Hand Dwelling house /Apartment",""
"16/04/2010","Whiteways, Dublin Road, Bray","","Dublin","€428,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"18/04/2010","Eden, Rosbeg","","Donegal","€235,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"18/04/2010","Glencool House, Lissivigeen, Killarney","","Kerry","€150,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"19/04/2010","1 South Park, Priest Road, Tramore","","Waterford","€27,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"19/04/2010","1 South Park, Priest Road, Tramore","","Waterford","€29,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"19/04/2010","1 South park, Priest Road, Tramore","","Waterford","€27,500.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"19/04/2010","12 Woodville Drive, Woodville Grange, Athlone","","Westmeath","€100,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"19/04/2010","12A Esker Glebe, Lucan, Co. Dublin","","Dublin","€335,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"19/04/2010","133 Meadowhill, Letterkenny","","Donegal","€140,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"19/04/2010","15 Inver Park, Carrickmacross","","Monaghan","€155,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"19/04/2010","168 Blarney Street, Cork","","Cork","€20,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"19/04/2010","18 Broadfield Close, Rathcoole","","Dublin","€150,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"19/04/2010","2  Dartry View, Kinlough","","Leitrim","€229,074.00","No","Yes","New Dwelling house /Apartment","greater than 125 sq metres"
"19/04/2010","2 Ballingar, Tullamore","","Offaly","€229,074.89","No","Yes","New Dwelling house /Apartment","greater than 125 sq metres"
"19/04/2010","2 Willsbrook Gardens, Lucan","","Dublin","€305,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"19/04/2010","20 oakcourt close, palmerstown, .","Dublin 20","Dublin","€223,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"19/04/2010","21 Greyrock, Milford","","Donegal","€148,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"19/04/2010","22 Cois Na Habhainn, Gurteen","","Sligo","€105,000.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"19/04/2010","22B Scholarstown Park, Scholarstown Road, Rathfarnham","","Dublin","€330,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"19/04/2010","24 PARNELL STREET, TULLAMORE","","Offaly","€115,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"19/04/2010","25 Talbots Gate, Freshford Road, Kilkenny","","Kilkenny","€275,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"19/04/2010","27 Auburn Drive, Killiney, Dublin","","Dublin","€400,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"19/04/2010","3 Lansdowne Close, Portarlington","","Laois","€155,000.00","No","Yes","New Dwelling house /Apartment","greater than 125 sq metres"
"19/04/2010","31  Dartry View, Kinlough","","Leitrim","€158,590.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"19/04/2010","31 Luttrellstown Walk, Castleknock, Dublin 15","Dublin 15","Dublin","€450,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"19/04/2010","36 MEADOWLANDS, CLOUGHMACSIMON, BANDON","","Cork","€150,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"19/04/2010","37 Dun Lia, Loughtagalla, Thurles","","Tipperary","€152,000.00","No","Yes","New Dwelling house /Apartment","less than 38 sq metres"
"19/04/2010","4 Glenaulin Drive, Chapelizod, Dublin 20","","Dublin","€410,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"19/04/2010","4 The Copse, Griffith Avenue, Dublin 9","","Dublin","€840,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"19/04/2010","42  Oak Drive, Rushbrooke Links  Cobh","","Cork","€195,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"19/04/2010","47d Fforster Square, Ballydowd Manor, Lucan  Co. Dublin","","Dublin","€196,355.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"19/04/2010","51 Donard Rod, Drimnagh","","Dublin","€215,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"19/04/2010","6  Holywell Way, Sea Road, kilcoole","","Wicklow","€55,000.00","No","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"19/04/2010","6 Cuairt na hAbhann, Claregalway","","Galway","€245,000.00","No","Yes","New Dwelling house /Apartment","greater than 125 sq metres"
"19/04/2010","6 Tonduff Close, Greenpark, Walkinstown","Dublin 12","Dublin","€340,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"19/04/2010","7 Hunters Crescent, Ballycullen, Firhouse","","Dublin","€325,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"19/04/2010","74 glenshesk road, whitehall","Dublin 9","Dublin","€150,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"19/04/2010","84 Glenbeigh Road, Cabra","","Dublin","€350,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"19/04/2010","95 Crozon Park, Sligo","","Sligo","€123,333.33","No","No","Second-Hand Dwelling house /Apartment",""
"19/04/2010","Aparment 4  Block C, Doonbeg House  Clare Village, Clare Hall  Dublin 17","","Dublin","€164,306.75","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"19/04/2010","Apartment No. 18, An Crannog, Kingscourt Road  Carrickmacross","","Monaghan","€150,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"19/04/2010","Apt 23  Royston View, Newbridge","","Kildare","€111,894.27","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"19/04/2010","Apt 24  Royston View, Newbridge","","Kildare","€111,894.27","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"19/04/2010","Cooloo, Moylough, Ballinasloe","","Galway","€90,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"19/04/2010","Coumshingaun Lodge, Kilclooney, Kilmacthomas","","Waterford","€30,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"19/04/2010","Cox's Cottage, Maughan, Belturbet","","Cavan","€125,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"19/04/2010","Cullomane West, Bantry, Co Cork","","Cork","€187,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"19/04/2010","Drumacloughan, Ramelton, n/a","","Donegal","€210,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"19/04/2010","Gola Island, Derrybeg","","Donegal","€65,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"19/04/2010","Kenstown House, Kentstown, Navan","","Meath","€600,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"19/04/2010","Kilmacshalgan, Dromore West","","Sligo","€190,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"19/04/2010","Knockawley, Melview, Longford","","Longford","€117,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"19/04/2010","Knocknahilan, Kinsale","","Cork","€180,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"19/04/2010","No. 2 Bridge Street, Graiguecullen, Carlow","","Carlow","€57,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"19/04/2010","Rahara, Athleague, Co. Roscommon","","Roscommon","€70,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"19/04/2010","Rehy West, Carrigaholt, Kilkee","","Clare","€60,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"19/04/2010","ST. JULIANS, GENTIAN HILL, SALTHILL","","Galway","€500,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"19/04/2010","Windy Ridge, Lower Aghada, Midleton","","Cork","€295,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"20/04/2010","1 holywell crescent, sea rd, kilcoole","","Wicklow","€158,590.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"20/04/2010","1 Oakwood Grove, Clondalkin, Dublin 22","","Dublin","€246,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"20/04/2010","1 St Canices Terrace, Rosbercon, New Ross","","Wexford","€137,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"20/04/2010","10 Prior Park Road, Clonmel","","Tipperary","€81,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"20/04/2010","12 The Drive, Millbrook Lawns, Tallaght","","Dublin","€200,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"20/04/2010","18 Bulfin Road, Inchicore, Dublin 8","Dublin 8","Dublin","€215,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"20/04/2010","19 Fortfield Road, Terenure","Dublin 6","Dublin","€380,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"20/04/2010","20 MILLRACE, BEALNAMULLIA, ATHLONE","","Roscommon","€190,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"20/04/2010","22 Ailesbury Court, Mitchelstown","","Cork","€280,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"20/04/2010","22 Farmleigh Park, Farmleigh Woods, Whites Road Castleknock","Dublin 15","Dublin","€656,387.66","No","Yes","New Dwelling house /Apartment","greater than 125 sq metres"
"20/04/2010","24 BEECHWOOD PARK, CARLOW","","Carlow","€111,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"20/04/2010","24 St. Nicholas Park, Carrick on Suir","","Tipperary","€75,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"20/04/2010","25 Greenville Avenue, South Circular Road","","Dublin","€309,700.00","No","No","Second-Hand Dwelling house /Apartment",""
"20/04/2010","26 Capella Court, Langton Cross, Newbridge","","Kildare","€100,881.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"20/04/2010","292 Swords Road, Santry","","Dublin","€337,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"20/04/2010","34 Cluain Dara Court, Clonmacken, Limerick","","Limerick","€184,660.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"20/04/2010","38 Cliftonville Road, Glasnevin","Dublin 9","Dublin","€590,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"20/04/2010","40 Cluain Dara, Clonmacken, Limerick","","Limerick","€184,660.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"20/04/2010","42 Castle Danson, Sion Hill, Blackrock","","Dublin","€300,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"20/04/2010","5 Magnolia Terrace, St Lukes, Cork","","Cork","€189,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"20/04/2010","51 Kiltipper Drive, Aylesbury, Tallaght","","Dublin","€235,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"20/04/2010","51 Rath Dubh, Swinford","","Mayo","€105,726.87","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"20/04/2010","58 Brookwood Heights, Artane","Dublin 5","Dublin","€335,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"20/04/2010","6  Ardeevin, Ballinlough Road, Cork","","Cork","€305,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"20/04/2010","6 St Kevins Villas, Sallynoggin","","Dublin","€300,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"20/04/2010","6 St. Anne's Terrace, Sligo","","Sligo","€103,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"20/04/2010","61 Newtown Court, Belcamp Lane, Malahide Road","","Dublin","€90,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"20/04/2010","65 The Maples, Letterkenny","","Donegal","€184,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"20/04/2010","7 Avondale Park, Killiney, County Dublin","","Dublin","€464,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"20/04/2010","70 New Bancroft Hall, Main Street, Tallaght","","Dublin","€169,000.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"20/04/2010","71 FOXBOROUGH DRIVE, LUCAN","","Dublin","€212,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"20/04/2010","75 Church Street, Roscrea","","Tipperary","€75,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"20/04/2010","81 Abbey Court, Killala Road, Ballina","","Mayo","€152,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"20/04/2010","9 Berryfield Court, Enniskerry","","Wicklow","€350,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"20/04/2010","9 CUL NA GREINE, OLDCASTLE ROAD, BALLYJAMESDUFF","","Cavan","€65,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"20/04/2010","9 Killineer Cottages, Drogheda","","Louth","€160,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"20/04/2010","9 St. Edmunds Park, St Edmunds, Palmerstown","Dublin 20","Dublin","€320,000.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"20/04/2010","apartment 10, hollycourt, midleton","","Cork","€123,348.01","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"20/04/2010","Apartment 11  Clarinda Park House, Clarinda Park, Dun Laoghaire","","Dublin","€250,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"20/04/2010","apartment 6 block c, parkside, portlaoise","","Laois","€215,815.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"20/04/2010","Apartment No. 17 Avenue Grove, The Avenue, Gorey","","Wexford","€134,800.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"20/04/2010","Apartment No. 5 Hazelbrook, Kilmacud Road Upper, Dublin","","Dublin","€259,911.89","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"20/04/2010","Apt 151 The Dargen Building, Block 7B Heuston South Quarter, St. Johns Road","","Dublin","€325,991.19","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"20/04/2010","ballinclough upper, timahoe","","Laois","€522,907.49","No","Yes","New Dwelling house /Apartment","greater than 125 sq metres"
"20/04/2010","church Road, Nenagh","","Tipperary","€205,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"20/04/2010","Farranagark, Kilbrittain","","Cork","€150,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"20/04/2010","farranbrien, minane bridge, cork","","Cork","€17,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"20/04/2010","Libadore, Ballina","","Mayo","€190,750.00","No","No","Second-Hand Dwelling house /Apartment",""
"20/04/2010","Main Street, Enniskeane","","Cork","€140,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"20/04/2010","Millastle, Castlepollard","","Westmeath","€120,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"20/04/2010","Mount Street, Claremorris, Co. Mayo","","Mayo","€165,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"20/04/2010","Parkmore, Castlegar, Galway","","Galway","€225,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"20/04/2010","Raherneen, Kiltullagh, Athenry","","Galway","€260,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"20/04/2010","Shannon Villa, Lisdeen, Kilkee","","Clare","€125,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"20/04/2010","Shorewinds, Kinsale","","Cork","€900,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"20/04/2010","Station Road, Lahinch, Co. Clare","","Clare","€133,333.00","No","No","Second-Hand Dwelling house /Apartment",""
"20/04/2010","Townparks, Ardee","","Louth","€115,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"21/04/2010","1 The Drive  Broadale, Maryborough Hill, Douglas","","Cork","€316,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"21/04/2010","1 Whitehall road, Terenure, Dublin 12","Dublin 12","Dublin","€390,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"21/04/2010","10  Castleland Court, Balbriggan, County Dublin","","Dublin","€150,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"21/04/2010","10 Kincora View, Ballina","","Tipperary","€250,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"21/04/2010","10 Peyton Court, Stoney Road, Rathcoole","","Dublin","€311,806.17","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"21/04/2010","111 Laurel Grove, Tagoat, Rosslare Harbour","","Wexford","€157,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"21/04/2010","15 Beechurst, Bray","","Wicklow","€620,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"21/04/2010","15 Glor Na Donn, Kit Ahern Road, Ballybunion","","Kerry","€280,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"21/04/2010","15 Old Youghal Road, Cork","","Cork","€140,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"21/04/2010","16 Drumcarrig, Drumalee","","Cavan","€152,000.00","No","No","Second-Hand Dwelling house /Apartment",""
